DEBUG 2022-12-10 12:28:31,770 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [tenantnew]
DEBUG 2022-12-10 12:28:32,181 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [MortgageAPMultiCurrency]
DEBUG 2022-12-10 12:28:32,535 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ResCrmTemplateDetailSourceXRef]
DEBUG 2022-12-10 12:28:32,883 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [AuditTableEntryDetail]
DEBUG 2022-12-10 12:28:33,223 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [LOBOSFDD_Application]
DEBUG 2022-12-10 12:28:33,770 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [UtilityPricing]
DEBUG 2022-12-10 12:28:34,113 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorOrderHoldHistory]
DEBUG 2022-12-10 12:28:34,488 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [Y2YImportEventLog]
DEBUG 2022-12-10 12:28:34,864 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [PropertyNames_Me]
DEBUG 2022-12-10 12:28:35,209 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [FloorPlan]
DEBUG 2022-12-10 12:28:35,589 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [Camrule_History]
DEBUG 2022-12-10 12:28:35,964 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8INCOME]
DEBUG 2022-12-10 12:28:36,497 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [DCFMktReviewPropChargeXRef]
DEBUG 2022-12-10 12:28:36,841 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorMedicaidBillingWorkSheetTransmission]
DEBUG 2022-12-10 12:28:37,224 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [NCREIFPropertyData]
DEBUG 2022-12-10 12:28:37,782 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [FDD_Preset]
DEBUG 2022-12-10 12:28:38,161 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [Import_And_Post_Prepay_SPData]
DEBUG 2022-12-10 12:28:38,517 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [AssessmentResult]
DEBUG 2022-12-10 12:28:38,878 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [milp_TenantBatch]
DEBUG 2022-12-10 12:28:39,465 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [BIWidgetDashboardTypeLink]
DEBUG 2022-12-10 12:28:39,821 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [EFTMultipleFileSetup]
DEBUG 2022-12-10 12:28:40,180 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8TenantReferral]
DEBUG 2022-12-10 12:28:40,529 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [DCFRollupAnalysisXRef]
DEBUG 2022-12-10 12:28:40,898 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [A_RGFAMILY]
DEBUG 2022-12-10 12:28:41,273 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CND_UNIT_RENT_HISTORY]
DEBUG 2022-12-10 12:28:41,621 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorIncidentWorkflowConfigurationDetail]
DEBUG 2022-12-10 12:28:42,011 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CMFUNDINGSOURCE]
DEBUG 2022-12-10 12:28:42,390 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8ReceiptDetail]
DEBUG 2022-12-10 12:28:42,926 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [FaRevaluation]
DEBUG 2022-12-10 12:28:43,304 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [Crcd_MercConvFeeXRef]
DEBUG 2022-12-10 12:28:43,657 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8HUDAcct]
DEBUG 2022-12-10 12:28:44,033 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [BUILDING]
DEBUG 2022-12-10 12:28:44,377 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [COMMCLAUSEGROUPDETAIL]
DEBUG 2022-12-10 12:28:44,729 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ONT_NX_FORMS_ADDR_U]
DEBUG 2022-12-10 12:28:45,044 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorDSSIFiles]
DEBUG 2022-12-10 12:28:45,583 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [IPlusWFTask]
DEBUG 2022-12-10 12:28:45,943 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [TICoverage]
DEBUG 2022-12-10 12:28:46,305 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ImportCommOptions]
DEBUG 2022-12-10 12:28:46,669 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ABSORB]
DEBUG 2022-12-10 12:28:47,005 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CheckPreview2]
DEBUG 2022-12-10 12:28:47,395 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [VPYSRPageType]
